Time;temperature0;target0;heater0;flow_sensor0;flow_steps0;temperature1;target1;heater1;flow_sensor1;flow_steps1;bed_temperature;bed_target;bed_heater;active_hotend_or_state
9797.097;52.200;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9797.206;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.100;60.000;255.000;14.000
9797.318;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.100;60.000;255.000;14.000
9797.421;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9797.521;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9797.624;52.200;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9797.729;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9797.830;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9797.935;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9798.032;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.100;60.000;255.000;14.000
9798.132;52.200;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9798.244;52.100;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9798.353;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9798.455;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9798.557;52.100;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9798.667;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9798.767;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9798.874;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9798.978;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9799.092;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9799.192;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9799.303;52.100;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9799.400;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9799.503;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.300;60.000;255.000;14.000
9799.604;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9799.714;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9799.814;52.100;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9799.922;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9800.024;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9800.125;52.100;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9800.228;52.100;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.700;60.000;255.000;14.000
9800.333;52.100;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.700;60.000;255.000;14.000
9800.438;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9800.536;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9800.646;51.900;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.400;60.000;255.000;14.000
9800.764;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9800.859;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9800.972;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9801.088;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9801.190;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9801.286;51.900;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9801.387;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9801.500;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9801.595;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.700;60.000;255.000;14.000
9801.699;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.600;60.000;255.000;14.000
9801.806;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9801.909;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9802.012;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9802.122;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.700;60.000;255.000;14.000
9802.224;51.900;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.700;60.000;255.000;14.000
9802.329;51.800;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9802.435;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9802.539;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9802.644;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9802.745;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.700;60.000;255.000;14.000
9802.845;51.800;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9802.951;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9803.056;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;54.900;60.000;255.000;14.000
9803.161;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9803.263;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9803.375;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9803.476;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9803.586;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9803.705;51.800;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9803.818;51.800;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9803.912;51.800;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9804.022;51.800;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9804.124;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9804.229;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9804.334;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.000;60.000;255.000;14.000
9804.443;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9804.544;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9804.644;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9804.744;51.800;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9804.848;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9804.954;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9805.056;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9805.158;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9805.273;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9805.377;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9805.479;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9805.581;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9805.680;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.100;60.000;255.000;14.000
9805.782;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9805.890;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.300;60.000;255.000;14.000
9805.991;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9806.093;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9806.192;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9806.302;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9806.402;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9806.513;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9806.611;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9806.729;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9806.880;51.600;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9806.946;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9807.057;51.600;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9807.160;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9807.260;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9807.372;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9807.483;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.400;60.000;255.000;14.000
9807.584;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9807.688;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9807.794;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9807.896;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9808.002;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9808.105;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9808.206;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9808.308;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9808.412;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9808.511;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9808.611;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9808.712;51.500;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9808.812;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9808.914;51.500;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9809.026;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9809.116;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9809.220;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.600;60.000;255.000;14.000
9809.322;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9809.424;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9809.528;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;56.200;60.000;255.000;14.000
9809.628;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9809.729;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9809.828;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;56.000;60.000;255.000;14.000
9809.938;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
9810.050;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;56.200;60.000;255.000;14.000
9810.154;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;55.700;60.000;255.000;14.000
9810.257;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;56.200;60.000;255.000;14.000
9810.360;51.300;0.000;0.000;65535.000;0.000;37.700;0.000;0.000;65535.000;0.000;56.000;60.000;255.000;14.000
9810.462;51.300;0.000;0.000;65535.000;0.000;37.800;0.000;0.000;65535.000;0.000;55.900;60.000;255.000;14.000
