Time;temperature0;target0;heater0;flow_sensor0;flow_steps0;temperature1;target1;heater1;flow_sensor1;flow_steps1;bed_temperature;bed_target;bed_heater;active_hotend_or_state
36393.812;207.200;206.200;117.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.600;60.000;98.000;0.000
36393.918;207.200;206.200;117.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.700;60.000;86.000;0.000
36394.023;207.200;206.200;116.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;79.000;0.000
36394.133;207.000;206.200;119.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.400;60.000;117.000;0.000
36394.238;207.000;206.200;120.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.600;60.000;94.000;0.000
36394.355;207.000;206.200;120.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;98.000;0.000
36394.457;207.000;206.200;120.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;60.200;60.000;73.000;0.000
36394.559;207.000;206.200;120.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.400;60.000;126.000;0.000
36394.664;207.000;206.300;118.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;98.000;0.000
36394.770;207.000;206.300;120.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;92.000;0.000
36394.871;207.000;206.300;120.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.400;60.000;105.000;0.000
36394.980;207.000;206.300;120.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.700;60.000;99.000;0.000
36395.094;207.000;206.300;119.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.900;60.000;111.000;0.000
36395.191;207.000;206.400;119.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.600;60.000;103.000;0.000
36395.301;206.800;206.400;123.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;117.000;0.000
36395.402;206.800;206.400;123.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.600;60.000;105.000;0.000
36395.508;206.800;206.400;123.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.900;60.000;92.000;0.000
36395.613;206.800;220.000;155.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.700;60.000;108.000;0.000
36395.715;206.800;220.000;253.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.900;60.000;98.000;0.000
36395.824;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;92.000;0.000
36395.945;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.700;60.000;99.000;0.000
36396.043;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;60.000;60.000;94.000;0.000
36396.148;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.400;60.000;148.000;0.000
36396.250;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.700;60.000;105.000;0.000
36396.371;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.600;60.000;112.000;0.000
36396.465;206.800;220.000;254.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;104.000;0.000
36396.578;206.800;215.400;224.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.700;60.000;86.000;0.000
36396.688;206.800;215.400;210.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.700;60.000;86.000;0.000
36396.785;206.800;215.400;210.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.100;60.000;123.000;0.000
36396.895;206.800;215.400;212.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.400;60.000;117.000;0.000
36397.004;206.700;207.900;211.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.600;60.000;86.000;0.000
36397.105;206.700;207.900;142.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.400;60.000;111.000;0.000
36397.219;206.800;207.900;141.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.400;60.000;117.000;0.000
36397.352;206.700;207.900;142.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;80.000;0.000
36397.457;206.700;207.900;142.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.600;60.000;92.000;0.000
36397.547;206.700;206.300;134.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;60.000;60.000;85.000;0.000
36397.648;206.700;206.300;126.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;60.300;60.000;55.000;0.000
36397.754;206.700;206.300;126.000;65535.000;0.000;40.700;0.000;0.000;65535.000;0.000;59.900;60.000;98.000;0.000
36397.855;206.700;206.300;126.000;65535.000;0.000;40.800;0.000;0.000;65535.000;0.000;59.900;60.000;80.000;0.000
